ID_Uzorka;Dubina_Busenja_cm;Temp_Tla_C;pH_Vrijednost;H2O_Postotak;Metan_Senzor;Organske_Molekule
2839;1.6;-51.3;10.5;0.06;Negativno;Ne
2840;1.9;-56.1;9.48;0.43;Negativno;Ne
2841;3.2;-64.2;5.07;0.21;Negativno;Ne
2842;0.8;-39.4;7.37;0.05;Negativno;Ne
2843;4.1;-45.7;4.48;0.11;Negativno;Ne
2844;1.9;-83.6;7.67;0.56;Negativno;Ne
2845;0.8;-56.8;6.69;0.0;Negativno;Ne
2846;5.3;-77.7;9.44;0.11;Negativno;Ne
2847;11.8;-66.0;6.56;1.07;Negativno;Ne
2848;0.3;-69.5;8.98;0.3;Negativno;Ne
2849;0.3;-54.5;7.23;0.12;Negativno;Ne
2850;18.9;-64.0;4.31;0.6;Negativno;Ne
2851;3.7;-52.0;5.87;0.38;Negativno;Ne
2852;0.5;-70.5;3.6;1.37;Negativno;Ne
2853;7.0;-71.4;9.45;0.05;Negativno;Ne
2854;16.7;-79.6;6.51;0.77;Negativno;Ne
2855;1.1;-54.6;7.69;0.11;Negativno;Ne
2856;4.6;-70.8;12.42;0.05;Negativno;Ne
2857;0.3;-60.3;5.9;0.03;Negativno;Ne
2858;0.6;-43.8;5.96;1.01;Negativno;Ne
2859;6.3;-58.7;6.63;2.11;Negativno;Ne
2860;4.1;-65.5;9.53;1.06;Negativno;Ne
2861;7.1;-51.5;9.15;0.01;Negativno;Ne
2862;4.4;-68.3;2.3;0.12;Negativno;Ne
2863;6.4;-63.3;5.94;0.14;Negativno;Ne
2864;7.7;-47.7;3.81;0.24;Negativno;Ne
2865;0.7;-62.5;7.12;0.4;Negativno;Ne
2866;1.5;-58.5;5.19;0.49;Negativno;Ne
2867;0.8;-77.4;4.51;2.02;Negativno;Ne
2868;2.6;-61.6;6.35;0.5;Negativno;Ne
2869;2.9;-64.5;8.84;0.68;Negativno;Ne
2870;2.2;-47.5;4.38;0.17;Negativno;Ne
2871;4.7;-53.4;7.16;0.19;Negativno;Ne
2872;7.6;-52.4;7.96;0.21;Negativno;Ne
2873;0.5;-62.9;8.51;1.17;Negativno;Ne
2874;6.0;-74.6;4.29;0.48;Negativno;Ne
2875;1.0;-64.8;9.06;0.96;Negativno;Ne
2876;1.2;-58.4;7.88;0.95;Negativno;Ne
2877;6.6;-55.8;6.94;2.01;Negativno;Ne
2878;1.7;-50.8;2.94;0.7;Negativno;Ne
2879;2.0;-51.5;8.34;0.6;Negativno;Ne
2880;4.0;-63.8;3.16;0.38;Negativno;Ne
2881;13.4;-57.9;7.17;0.84;Negativno;Ne
2882;7.2;-55.0;5.92;0.7;Negativno;Ne
2883;3.4;-49.1;9.55;0.35;Negativno;Ne
2884;2.0;-50.3;6.05;0.02;Negativno;Ne
2885;2.6;-78.6;3.5;0.43;Negativno;Ne
2886;2.9;-62.1;7.49;1.59;Negativno;Ne
2887;2.6;-56.5;11.83;2.1;Negativno;Ne
2888;1.9;-64.3;12.83;0.25;Negativno;Ne
2889;1.0;-54.0;9.13;2.24;Negativno;Ne
2890;10.6;-60.5;5.47;0.69;Negativno;Ne
2891;4.1;-48.2;8.25;0.56;Negativno;Ne
2892;1.8;-60.3;6.26;0.15;Negativno;Ne
2893;21.0;-59.1;6.11;0.11;Negativno;Ne
2894;4.7;-57.7;9.74;0.01;Negativno;Ne
2895;1.5;-48.8;5.49;0.04;Negativno;Ne
2896;3.7;-55.2;4.65;0.32;Negativno;Ne
2897;3.2;-79.5;6.64;0.31;Pozitivno;Ne
2898;1.9;-47.6;3.27;0.87;Negativno;Ne
2899;5.5;-64.2;9.12;1.44;Negativno;Ne
2900;3.4;-70.9;8.59;0.62;Negativno;Ne
2901;9.4;-63.2;5.69;0.35;Negativno;Ne
2902;2.5;-46.1;7.28;0.56;Negativno;Ne
2903;0.4;-61.8;10.16;0.34;Negativno;Ne
2904;10.1;-58.9;5.94;0.68;Negativno;Ne
2905;0.5;-64.7;8.06;0.58;Negativno;Ne
2906;4.1;-63.0;6.98;1.3;Negativno;Ne
2907;4.3;-62.7;10.49;0.29;Negativno;Ne
2908;2.6;-52.7;6.92;0.01;Negativno;Ne
2909;19.2;-58.9;6.03;0.02;Negativno;Ne
2910;6.2;-48.6;4.7;0.11;Negativno;Ne
2911;4.8;-55.6;5.52;0.35;Negativno;Ne
2912;0.4;-64.8;6.52;0.12;Negativno;Ne
2913;7.2;-69.9;8.27;1.54;Negativno;Ne
2914;9.2;-66.9;5.8;0.57;Negativno;Ne
2915;5.9;-69.2;6.89;2.03;Negativno;Ne
2916;2.0;-53.3;6.64;0.12;Negativno;Ne
2917;1.7;-71.7;5.52;0.4;Negativno;Ne
2918;0.5;-54.0;5.84;0.96;Negativno;Ne
2919;2.5;-44.9;5.74;0.11;Negativno;Ne
2920;0.6;-61.7;11.21;0.6;Negativno;Ne
2921;7.6;-64.4;8.36;0.09;Negativno;Ne
2922;2.7;-49.1;10.48;0.01;Negativno;Ne
2923;5.7;-46.7;7.01;0.29;Negativno;Ne
2924;0.6;-59.9;9.64;0.19;Negativno;Ne
2925;0.8;-53.5;9.77;1.02;Negativno;Ne
2926;4.3;-83.2;5.01;0.03;Negativno;Ne
2927;0.6;-57.2;7.12;0.07;Negativno;Ne
2928;3.1;-79.1;4.61;0.22;Negativno;Ne
2929;1.8;-64.6;7.85;0.01;Negativno;Ne
2930;8.7;-47.8;3.5;0.47;Negativno;Ne
2931;0.5;-72.3;8.64;1.73;Negativno;Ne
2932;8.0;-53.8;8.9;0.14;Negativno;Ne
2933;8.3;-63.5;6.1;0.09;Negativno;Ne
2934;4.6;-46.1;6.86;0.61;Negativno;Ne
2935;5.3;-71.4;5.06;1.29;Negativno;Ne
2936;14.4;-67.3;4.23;0.17;Negativno;Ne
2937;2.3;-50.7;6.84;0.01;Negativno;Ne
2938;7.1;-65.1;6.83;0.13;Negativno;Ne
2939;4.4;-39.2;7.94;0.24;Negativno;Ne
2940;1.0;-45.1;4.51;0.01;Negativno;Ne
2941;9.3;-67.2;7.41;0.14;Negativno;Ne
2942;17.7;-52.3;7.04;0.82;Negativno;Ne
2943;1.0;-66.4;3.38;0.25;Negativno;Ne
2944;8.4;-44.4;1.3;0.39;Negativno;Ne
2945;3.9;-48.5;8.83;0.81;Negativno;Ne
2946;1.0;-69.9;10.31;0.12;Negativno;Ne
2947;9.8;-59.0;10.84;0.28;Negativno;Ne
2948;6.6;-72.6;7.05;0.65;Negativno;Ne
2949;3.6;-56.4;5.35;0.9;Negativno;Ne
2950;11.1;-58.9;8.65;0.06;Negativno;Ne
2951;4.5;-38.6;6.92;0.33;Negativno;Ne
2952;4.7;-51.1;5.85;0.6;Negativno;Ne
2953;5.9;-57.7;7.11;0.01;Negativno;Ne
2954;0.5;-54.8;9.3;1.27;Negativno;Ne
2955;0.1;-53.4;7.59;0.0;Negativno;Ne
2956;2.7;-54.8;4.23;0.28;Negativno;Ne
2957;7.5;-52.7;9.5;0.03;Negativno;Ne
2958;6.5;-59.7;6.28;0.2;Negativno;Ne
2959;2.0;-49.4;7.35;0.87;Pozitivno;Ne
2960;1.2;-69.9;1.72;0.81;Negativno;Ne
2961;11.0;-46.9;6.78;0.42;Negativno;Ne
2962;9.1;-78.8;7.94;0.29;Negativno;Ne
2963;6.9;-61.0;5.44;3.58;Negativno;Ne
2964;2.0;-86.8;8.7;0.07;Negativno;Ne
2965;2.4;-61.9;10.2;0.01;Negativno;Ne
2966;2.3;-58.3;8.98;0.05;Negativno;Ne
2967;11.6;-65.8;8.6;0.78;Negativno;Ne
2968;0.3;-56.4;3.19;0.26;Negativno;Ne
2969;4.0;-64.5;7.36;0.01;Negativno;Ne
2970;6.4;-51.3;5.62;0.0;Negativno;Ne
2971;3.6;-39.3;6.16;0.72;Negativno;Ne
2972;6.5;-60.4;7.97;0.17;Negativno;Ne
2973;4.8;-47.4;8.28;0.02;Negativno;Ne
2974;0.2;-75.0;6.84;0.17;Negativno;Ne
2975;1.6;-53.0;8.93;0.9;Negativno;Ne
2976;9.1;-75.3;8.5;0.25;Negativno;Ne
2977;4.7;-55.4;5.97;0.64;Negativno;Ne
2978;6.2;-71.6;5.48;0.04;Negativno;Ne
2979;3.1;-49.4;7.81;0.05;Negativno;Ne
2980;2.6;-72.8;4.64;0.62;Negativno;Ne
2981;1.6;-61.4;6.18;0.19;Negativno;Ne
2982;6.8;-49.1;7.03;0.28;Negativno;Ne
2983;0.7;-51.9;8.18;0.13;Negativno;Ne
2984;5.4;-56.6;8.13;0.01;Negativno;Ne
2985;17.7;-70.8;7.1;1.25;Negativno;Ne
2986;0.5;-51.3;7.24;0.54;Negativno;Ne
2987;0.6;-67.2;9.05;1.46;Negativno;Ne
2988;26.8;-69.2;8.42;1.04;Negativno;Ne
2989;11.2;-58.3;8.27;0.36;Negativno;Ne
2990;3.9;-58.9;9.69;0.59;Negativno;Ne
2991;5.4;-50.9;11.41;1.19;Negativno;Ne
2992;7.1;-51.6;7.24;1.26;Negativno;Ne
2993;5.3;-65.7;11.0;2.59;Pozitivno;Ne
2994;5.3;-52.1;6.61;1.15;Negativno;Ne
2995;18.0;-81.1;6.48;0.62;Negativno;Ne
2996;3.1;-49.0;9.44;0.65;Negativno;Ne
2997;18.0;-82.1;6.72;1.05;Negativno;Ne
2998;2.8;-73.5;5.95;0.05;Negativno;Ne
2999;0.4;-55.4;8.31;0.35;Negativno;Ne
3000;8.4;-68.0;8.66;1.94;Negativno;Ne
3001;16.1;-52.1;7.48;0.27;Negativno;Ne
3002;0.1;-55.4;8.03;0.28;Negativno;Ne
3003;0.5;-49.3;4.76;0.54;Negativno;Ne
3004;1.0;-62.4;7.47;0.52;Negativno;Ne
3005;6.4;-64.9;1.12;0.27;Negativno;Ne
3006;33.7;-69.2;4.66;0.07;Negativno;Ne
3007;12.8;-54.5;10.37;0.34;Negativno;Ne
3008;5.2;-75.9;5.74;0.37;Negativno;Ne
3009;7.5;-78.7;10.34;0.18;Negativno;Ne
3010;0.5;-64.0;3.11;2.8;Negativno;Ne
3011;0.5;-75.5;8.39;1.17;Negativno;Ne
3012;4.4;-38.7;6.93;1.55;Negativno;Ne
3013;0.2;-75.6;7.96;1.63;Negativno;Ne
3014;15.8;-55.9;6.11;1.03;Negativno;Ne
3015;4.6;-55.7;14.0;0.33;Negativno;Ne
3016;15.7;-61.0;7.43;0.2;Negativno;Ne
3017;9.3;-70.2;7.36;0.04;Negativno;Ne
3018;4.2;-73.8;9.75;1.69;Negativno;Ne
3019;4.9;-52.4;8.84;0.53;Pozitivno;Ne
3020;2.9;-51.0;7.18;0.12;Negativno;Ne
3021;2.6;-66.5;9.3;0.09;Pozitivno;Ne
3022;4.0;-64.4;6.66;0.48;Negativno;Ne
3023;4.0;-61.8;10.0;0.39;Negativno;Ne
3024;3.1;-67.2;7.69;0.04;Negativno;Ne
3025;3.6;-53.1;6.19;0.31;Negativno;Ne
3026;0.8;-43.3;10.18;1.91;Negativno;Ne
3027;0.9;-47.5;4.26;1.28;Negativno;Ne
3028;1.6;-45.1;5.54;0.53;Negativno;Ne
3029;10.5;-65.2;7.43;0.05;Negativno;Ne
3030;2.1;-41.6;6.08;0.81;Negativno;Ne
3031;5.5;-66.5;5.27;0.26;Negativno;Ne
3032;3.1;-69.8;7.39;0.54;Negativno;Ne
3033;3.0;-72.4;4.49;0.43;Negativno;Ne
3034;2.9;-69.4;8.49;0.16;Negativno;Ne
3035;6.8;-60.8;11.01;1.19;Negativno;Ne
3036;2.4;-69.3;3.22;0.41;Negativno;Ne
3037;4.1;-61.0;1.53;0.07;Negativno;Ne
3038;2.2;-60.1;5.22;0.97;Negativno;Ne
3039;2.3;-55.2;8.06;1.64;Negativno;Ne
3040;7.8;-58.5;7.47;0.44;Negativno;Ne
3041;0.8;-52.8;7.86;0.52;Negativno;Ne
3042;11.3;-43.7;5.83;0.13;Negativno;Ne
3043;0.2;-73.3;6.69;0.37;Negativno;Ne
3044;8.5;-76.0;7.06;0.05;Negativno;Ne
3045;0.4;-64.5;5.85;0.3;Negativno;Ne
3046;1.9;-61.1;8.14;0.46;Negativno;Ne
3047;4.7;-78.3;6.1;0.13;Negativno;Ne
3048;8.5;-51.0;4.94;0.24;Negativno;Ne
3049;8.0;-54.1;8.96;0.11;Negativno;Ne
3050;6.0;-56.5;4.35;0.15;Negativno;Ne
3051;0.9;-47.4;7.23;0.66;Negativno;Ne
3052;2.6;-66.8;4.95;0.57;Negativno;Ne
3053;0.5;-47.2;7.94;1.06;Negativno;Ne
3054;7.6;-63.1;9.12;0.0;Negativno;Ne
3055;10.0;-58.1;6.01;0.55;Negativno;Ne
3056;1.9;-61.3;2.04;0.42;Negativno;Ne
3057;5.3;-64.3;6.16;0.24;Negativno;Ne
3058;0.6;-60.0;5.76;0.06;Negativno;Ne
3059;0.6;-66.7;5.72;0.18;Negativno;Ne
3060;1.2;-65.0;9.08;0.11;Negativno;Ne
3061;5.2;-45.5;5.12;0.34;Negativno;Ne
3062;1.3;-73.8;5.28;0.33;Negativno;Ne
3063;8.5;-51.7;10.09;0.78;Negativno;Ne
3064;2.3;-74.3;6.35;0.0;Negativno;Ne
3065;0.7;-59.9;7.98;0.13;Pozitivno;Ne
3066;2.6;-52.8;8.18;0.18;Negativno;Ne
3067;8.0;-54.0;7.66;0.95;Negativno;Ne
3068;0.7;-65.1;8.15;0.61;Negativno;Ne
3069;5.5;-44.6;8.12;0.74;Negativno;Ne
3070;1.0;-62.5;7.85;1.34;Negativno;Ne
3071;1.2;-44.5;5.62;0.04;Negativno;Ne
3072;1.8;-69.5;9.34;0.19;Negativno;Ne
3073;0.8;-58.2;8.82;0.09;Negativno;Ne
3074;0.4;-45.7;6.76;0.99;Negativno;Ne
3075;0.8;-66.2;7.03;0.52;Negativno;Ne
3076;1.1;-62.6;6.98;0.39;Negativno;Ne
3077;4.9;-72.9;7.66;0.07;Negativno;Ne
3078;1.4;-59.9;8.43;0.49;Negativno;Ne
3079;5.7;-44.9;11.16;0.39;Negativno;Ne
3080;6.9;-77.0;8.41;0.56;Negativno;Ne
3081;1.3;-61.8;5.43;0.25;Negativno;Ne
3082;0.9;-48.3;7.71;0.84;Negativno;Ne
3083;6.1;-58.9;4.93;0.54;Negativno;Ne
3084;7.6;-70.1;5.91;2.09;Negativno;Ne
3085;7.6;-56.8;3.4;0.25;Negativno;Ne
3086;3.4;-58.8;5.96;0.44;Negativno;Ne
3087;2.2;-68.7;7.21;0.71;Negativno;Ne
3088;3.2;-61.0;5.96;1.59;Negativno;Ne
3089;1.3;-83.2;6.45;0.23;Negativno;Ne
3090;3.2;-43.4;9.4;0.26;Negativno;Ne
3091;3.5;-49.8;8.63;0.28;Negativno;Ne
3092;4.7;-53.7;8.68;0.45;Negativno;Ne
3093;9.7;-63.1;6.39;0.11;Negativno;Ne
3094;5.3;-69.7;9.45;0.43;Negativno;Ne
3095;7.9;-57.3;8.89;1.68;Negativno;Ne
3096;0.7;-53.9;7.17;0.06;Negativno;Ne
3097;1.6;-43.0;7.11;0.04;Negativno;Ne
3098;7.8;-57.3;5.28;0.14;Negativno;Ne
3099;0.5;-70.7;6.27;0.05;Negativno;Ne
3100;5.3;-42.4;6.74;0.19;Negativno;Ne
3101;5.8;-63.7;8.29;0.15;Negativno;Ne
3102;5.1;-54.3;3.58;0.09;Negativno;Ne
3103;3.0;-49.2;10.91;2.64;Negativno;Ne
3104;1.5;-60.3;7.15;0.13;Negativno;Ne
3105;1.7;-67.2;3.11;0.01;Negativno;Ne
3106;1.9;-61.3;9.53;0.25;Negativno;Ne
3107;0.3;-66.6;8.26;0.2;Negativno;Ne
3108;9.7;-63.9;4.48;0.64;Negativno;Ne
3109;20.1;-58.7;7.47;0.58;Negativno;Ne
3110;5.6;-64.2;6.28;0.38;Negativno;Ne
3111;18.8;-41.4;4.69;1.33;Negativno;Ne
3112;3.7;-64.0;8.42;0.03;Negativno;Ne
3113;18.3;-75.6;5.56;0.07;Negativno;Ne
3114;0.9;-62.9;6.0;0.57;Negativno;Ne
3115;1.2;-60.4;7.12;0.19;Negativno;Ne
3116;10.1;-52.8;8.12;0.22;Negativno;Ne
3117;5.6;-59.0;4.02;1.49;Negativno;Ne
3118;0.8;-66.0;7.33;0.25;Negativno;Ne
3119;1.9;-52.7;8.91;0.11;Negativno;Ne
3120;3.4;-64.3;4.77;2.57;Negativno;Ne
3121;2.9;-49.6;8.37;0.07;Negativno;Ne
3122;13.0;-61.7;8.32;0.14;Negativno;Ne
3123;7.0;-63.4;4.69;0.28;Negativno;Ne
3124;1.5;-46.7;7.21;0.02;Negativno;Ne
3125;1.5;-84.0;6.97;0.08;Negativno;Ne
3126;6.7;-59.3;4.96;0.3;Negativno;Ne
3127;2.6;-69.7;8.82;0.02;Negativno;Ne
3128;0.7;-66.2;7.73;0.25;Negativno;Ne
3129;0.9;-43.6;8.4;0.87;Negativno;Ne
3130;11.4;-64.0;9.58;2.11;Negativno;Ne
3131;2.3;-60.1;7.39;0.13;Negativno;Ne
3132;1.3;-43.7;6.07;0.62;Negativno;Ne
3133;9.5;-50.8;4.19;0.38;Negativno;Ne
3134;1.0;-55.5;11.95;0.32;Negativno;Ne
3135;1.7;-60.6;5.03;0.15;Negativno;Ne
3136;8.4;-61.2;5.51;0.26;Negativno;Ne
3137;0.7;-65.4;6.16;0.33;Negativno;Ne
3138;0.3;-51.4;7.78;0.06;Negativno;Ne
3139;1.4;-58.8;7.89;1.09;Negativno;Ne
3140;2.0;-72.9;10.07;0.15;Negativno;Ne
3141;9.0;-72.9;6.53;0.49;Negativno;Ne
3142;9.7;-66.0;5.85;0.04;Pozitivno;Ne
3143;13.1;-71.8;7.65;0.3;Negativno;Ne
3144;1.4;-46.5;4.79;1.85;Negativno;Ne
3145;2.7;-54.7;8.8;0.1;Negativno;Ne
3146;4.9;-52.9;5.94;0.04;Negativno;Ne
3147;6.9;-58.0;3.3;0.12;Negativno;Ne
3148;0.9;-44.8;9.77;0.36;Negativno;Ne
3149;21.5;-49.6;8.53;0.59;Negativno;Ne
3150;7.6;-45.9;7.54;0.43;Negativno;Ne
3151;0.2;-73.2;7.95;1.42;Negativno;Ne
3152;4.6;-54.4;3.38;0.26;Negativno;Ne
3153;4.8;-43.2;7.97;0.2;Negativno;Ne
3154;2.6;-56.7;5.96;0.87;Negativno;Ne
3155;1.4;-63.9;3.55;0.34;Negativno;Ne
3156;12.3;-70.0;6.08;0.02;Negativno;Ne
3157;3.2;-56.1;3.24;0.04;Negativno;Ne
3158;7.5;-64.6;6.25;0.39;Negativno;Ne
3159;1.7;-52.3;2.17;0.8;Negativno;Ne
3160;7.5;-50.0;7.73;0.78;Negativno;Ne
3161;8.5;-60.3;2.93;0.03;Negativno;Ne
3162;0.6;-51.0;7.1;0.81;Negativno;Ne
3163;1.4;-57.2;10.16;0.23;Negativno;Ne
3164;2.6;-56.9;6.34;0.3;Negativno;Ne
3165;1.5;-53.0;4.34;0.47;Negativno;Ne
3166;7.9;-80.5;7.03;1.37;Negativno;Ne
3167;7.8;-73.3;6.71;0.5;Negativno;Ne
3168;12.5;-64.9;5.35;1.01;Negativno;Ne
3169;3.4;-77.1;4.46;0.75;Pozitivno;Ne
3170;5.7;-67.5;5.75;0.45;Negativno;Ne
3171;8.9;-61.8;7.54;1.02;Negativno;Ne
3172;0.9;-50.3;6.34;0.19;Pozitivno;Ne
3173;6.6;-66.8;7.8;0.22;Negativno;Ne
3174;7.1;-61.2;8.93;0.92;Negativno;Ne
3175;7.8;-52.5;7.63;0.52;Negativno;Ne
3176;6.5;-65.4;3.56;0.42;Negativno;Ne
3177;14.0;-62.8;6.34;0.17;Negativno;Ne
3178;12.0;-61.4;7.19;0.05;Negativno;Ne
3179;6.0;-61.5;1.64;0.05;Negativno;Ne
3180;22.0;-53.6;8.76;1.35;Negativno;Ne
3181;26.8;-48.9;7.1;0.27;Negativno;Ne
3182;8.9;-39.2;7.16;0.18;Negativno;Ne
3183;4.5;-51.3;0.73;3.87;Negativno;Ne
3184;21.3;-59.6;9.39;0.06;Negativno;Ne
3185;8.5;-56.5;8.11;0.32;Negativno;Ne
3186;2.7;-66.4;6.37;0.05;Negativno;Ne
3187;0.3;-39.1;7.82;0.13;Negativno;Ne
3188;1.2;-61.7;8.92;0.11;Negativno;Ne
3189;3.9;-52.8;6.19;0.02;Negativno;Ne
3190;2.9;-54.6;5.92;0.59;Negativno;Ne
3191;23.0;-47.3;7.77;0.29;Negativno;Ne
3192;18.5;-51.9;6.63;0.0;Negativno;Ne
3193;5.8;-65.2;5.25;0.05;Negativno;Ne
3194;31.6;-57.1;9.54;0.12;Negativno;Ne
3195;5.1;-58.9;9.06;0.33;Negativno;Ne
3196;1.4;-66.2;9.61;0.23;Negativno;Ne
3197;2.4;-67.8;7.5;0.54;Negativno;Ne
3198;6.7;-60.6;4.85;0.1;Negativno;Ne
3199;5.0;-51.3;5.97;0.88;Negativno;Ne
3200;1.2;-65.4;5.51;0.08;Negativno;Ne
3201;4.7;-58.5;8.99;0.26;Negativno;Ne
3202;0.8;-80.9;2.99;0.13;Negativno;Ne
3203;11.6;-52.9;6.77;0.24;Negativno;Ne
3204;0.6;-43.6;7.35;0.41;Negativno;Ne
3205;5.0;-77.0;6.0;0.13;Negativno;Ne
3206;2.9;-47.3;2.68;0.49;Negativno;Ne
3207;4.7;-53.8;7.09;1.14;Negativno;Ne
3208;0.9;-60.9;5.38;1.08;Negativno;Ne
3209;5.0;-53.3;7.97;0.05;Negativno;Ne
3210;0.3;-64.6;6.1;0.91;Negativno;Ne
3211;6.3;-69.4;9.14;1.05;Negativno;Ne
3212;8.7;-53.5;5.1;0.03;Negativno;Ne
3213;2.7;-52.7;5.38;0.26;Negativno;Ne
3214;12.6;-50.5;12.36;0.17;Negativno;Ne
3215;10.3;-60.7;7.47;0.66;Negativno;Ne
3216;7.9;-69.3;11.08;0.89;Negativno;Ne
3217;3.6;-71.5;6.54;0.99;Negativno;Ne
3218;5.6;-52.7;6.15;0.31;Negativno;Ne
3219;1.4;-56.8;7.79;1.51;Negativno;Ne
3220;0.4;-58.1;7.65;1.04;Negativno;Ne
3221;4.9;-62.2;8.33;0.07;Negativno;Ne
3222;2.4;-54.2;6.85;0.44;Negativno;Ne
3223;2.2;-60.9;6.91;0.05;Negativno;Ne
3224;2.7;-53.3;7.43;0.04;Negativno;Ne
3225;17.1;-52.4;7.42;0.16;Negativno;Ne
3226;0.0;-70.8;6.68;0.11;Negativno;Ne
3227;13.5;-52.8;5.82;0.02;Negativno;Ne
3228;4.6;-69.6;5.34;0.02;Negativno;Ne
3229;1.0;-72.0;8.39;1.09;Negativno;Ne
3230;1.5;-69.2;8.95;0.19;Negativno;Ne
3231;5.6;-57.3;4.77;0.59;Negativno;Ne
3232;3.3;-51.9;6.38;1.01;Negativno;Ne
3233;11.1;-58.3;8.94;0.98;Negativno;Ne
3234;13.1;-69.8;6.42;0.04;Negativno;Ne
3235;7.5;-52.8;5.3;0.33;Negativno;Ne
3236;1.9;-45.0;6.62;0.19;Negativno;Ne
3237;16.7;-56.1;10.25;0.58;Negativno;Ne
3238;1.8;-71.9;8.7;0.78;Negativno;Ne
3239;4.7;-55.9;9.52;0.12;Negativno;Ne
3240;2.3;-61.9;5.55;0.4;Negativno;Ne
3241;4.4;-51.7;5.06;0.36;Negativno;Ne
3242;2.2;-51.6;7.48;0.09;Negativno;Ne
3243;2.1;-31.0;6.14;0.03;Negativno;Ne
3244;0.7;-59.0;6.31;0.31;Negativno;Ne
3245;0.9;-45.6;7.59;1.89;Negativno;Ne
3246;0.1;-60.2;6.34;0.39;Negativno;Ne
3247;5.3;-60.0;6.61;0.15;Negativno;Ne
3248;10.0;-68.2;6.28;1.51;Negativno;Ne
3249;2.0;-64.1;6.96;0.2;Negativno;Ne
3250;4.7;-70.7;10.05;0.36;Negativno;Ne
3251;0.0;-57.6;8.27;0.57;Negativno;Ne
3252;2.1;-58.7;5.56;0.24;Negativno;Ne
3253;8.7;-54.0;9.11;0.49;Negativno;Ne
3254;0.0;-50.2;5.75;0.02;Negativno;Ne
3255;1.7;-60.1;8.44;1.77;Negativno;Ne
3256;2.7;-64.3;6.05;0.1;Negativno;Ne
3257;1.7;-70.1;7.31;0.39;Negativno;Ne
3258;9.1;-91.0;7.58;0.32;Negativno;Ne
3259;3.4;-69.6;7.6;0.03;Negativno;Ne
3260;3.2;-64.6;7.47;0.15;Negativno;Ne
3261;8.8;-63.0;6.91;1.98;Negativno;Ne
3262;2.2;-57.7;9.5;0.51;Negativno;Ne
3263;5.9;-60.4;3.38;0.3;Negativno;Ne
3264;2.6;-54.0;5.12;0.16;Negativno;Ne
3265;1.8;-65.5;6.99;0.08;Negativno;Ne
3266;3.9;-74.9;6.58;0.7;Negativno;Ne
3267;4.1;-75.3;5.65;0.33;Negativno;Ne
3268;8.7;-50.2;8.22;0.09;Negativno;Ne
3269;11.9;-65.9;5.22;0.18;Negativno;Ne
3270;6.6;-77.3;6.7;0.42;Negativno;Ne
3271;2.7;-77.3;7.76;0.23;Negativno;Ne
3272;0.2;-49.4;7.41;0.44;Negativno;Ne
3273;0.5;-51.4;7.46;1.34;Negativno;Ne
3274;0.8;-57.6;7.91;0.75;Negativno;Ne
3275;2.8;-54.0;6.51;0.08;Negativno;Ne
3276;3.3;-54.3;7.89;0.0;Negativno;Ne
3277;3.2;-63.2;4.42;0.58;Negativno;Ne
3278;2.4;-66.1;3.21;0.54;Negativno;Ne
3279;7.7;-53.0;8.24;0.39;Negativno;Ne
3280;3.1;-52.9;3.82;1.09;Negativno;Ne
3281;1.7;-49.1;6.59;0.57;Negativno;Ne
3282;3.5;-44.2;6.18;0.07;Negativno;Ne
3283;3.9;-61.9;7.66;2.8;Negativno;Ne
3284;8.9;-61.0;7.21;0.11;Negativno;Ne
3285;15.2;-75.2;6.79;0.15;Negativno;Ne
3286;0.5;-70.4;7.03;1.1;Negativno;Ne
3287;5.5;-59.7;8.72;0.06;Negativno;Ne
3288;1.4;-49.7;6.99;0.94;Negativno;Ne
3289;8.1;-46.5;7.96;0.27;Negativno;Ne
3290;1.0;-63.6;8.46;0.42;Negativno;Ne
3291;1.4;-68.3;0.51;0.53;Negativno;Ne
3292;3.3;-69.6;4.04;0.81;Negativno;Ne
3293;6.9;-62.2;4.58;0.42;Negativno;Ne
3294;2.7;-70.7;7.67;0.21;Negativno;Ne
3295;3.5;-67.3;5.43;0.09;Negativno;Ne
3296;3.5;-57.4;4.4;0.18;Negativno;Ne
3297;3.8;-35.7;12.17;1.35;Negativno;Ne
3298;6.2;-73.8;7.0;0.0;Negativno;Ne
3299;0.8;-55.0;8.69;1.28;Negativno;Ne
3300;2.6;-71.8;5.56;0.41;Negativno;Ne
3301;0.3;-38.4;6.5;0.17;Negativno;Ne
3302;2.7;-60.6;6.28;0.57;Negativno;Ne
3303;1.0;-57.6;6.52;0.23;Negativno;Ne
3304;4.2;-52.8;7.37;0.24;Negativno;Ne
3305;15.3;-49.5;5.9;0.05;Negativno;Ne
3306;2.5;-54.0;10.81;1.13;Negativno;Ne
3307;0.7;-66.7;6.04;0.57;Negativno;Ne
3308;1.5;-65.4;7.45;0.54;Negativno;Ne
3309;2.1;-57.0;5.78;1.02;Negativno;Ne
3310;4.6;-67.9;6.74;0.02;Negativno;Ne
3311;1.3;-39.9;9.72;3.06;Negativno;Ne
3312;4.8;-67.3;6.17;0.69;Negativno;Ne
3313;14.3;-45.9;6.57;0.13;Negativno;Ne
3314;1.3;-57.7;4.2;0.18;Negativno;Ne
3315;9.9;-62.2;3.76;0.14;Negativno;Ne
3316;5.8;-63.3;0.6;0.02;Negativno;Ne
3317;6.2;-73.1;5.94;0.62;Negativno;Ne
